,resturant_name,phone_number,address,website
0,The Crab Stop,(407) 292-6161,"4721 E Colonial DrOrlando, FL 32803",http://www.lindaslacantinasteakhouse.com
1,Linda's La Cantina Steak House-,(407) 588-0571,"1106 E Colonial DrOrlando, FL 32803",http://www.littlesaigonorlando.com
2,Little Saigon Restaurant Inc,(407) 412-9841,"2122 W Colonial DrOrlando, FL 32804",http://www.bestseafoodplace.net
3,Best Seafood Place,(407) 425-9292,"701 W Lancaster RdOrlando, FL 32809",https://giordanos.com/location/lake-buena-vista-disney-area
4,El Palacio Restaurant,(407) 240-0961,"80 W Grant StOrlando, FL 32806",http://www.westgateresorts.com
5,Flippers Pizzeria,(407) 425-5995,"12151 S Apopka Vineland RdOrlando, FL 32836",http://www.agaveazulcocinamex.com
6,Giordano's,(407) 239-8900,"10200 Turkey Lake Rd Apt 32819Orlando, FL 32819",http://www.goldencorral.com
7,Westgate Smokehouse Grill,(407) 352-7933,"7575 Dr Phillips BlvdOrlando, FL 32819",http://www.jalexanders.com
8,Chatham's Place Restaurant,(407) 345-2992,"4750 S Kirkman RdOrlando, FL 32811",http://www.ocharleys.com
9,Agave Azul,(407) 704-6930,"8032 International DrOrlando, FL 32819",http://www.grandcypress.com/dining/nine_18
10,Golden Corral Restaurants,(407) 352-6606,"7335 W Sand Lake RdOrlando, FL 32819",http://www.tonyromas.com
11,J. Alexander's,(407) 345-1039,"8081 Turkey Lake Rd Ste 700Orlando, FL 32819",http://www.ruthschris.com
12,O'Charley's,(407) 354-0010,"1 N Jacaranda StOrlando, FL 32836",http://www.houlihans.com
13,Nine 18,(407) 239-1999,"8560 International DrOrlando, FL 32819",http://www.kresrestaurant.com
14,Tony Roma's,(407) 248-0094,"7501 W Sand Lake RdOrlando, FL 32819",http://www.winghouse.com
15,Ruth's Chris Steak House,(407) 226-3900,"2600 E Colonial DrOrlando, FL 32803",http://www.lonestarsteakhouse.com
16,Houlihan's,(407) 894-3009,"17 W Church StOrlando, FL 32801",http://www.ciaoitaliaonline.com
17,Kres Chophouse,(407) 447-7950,"3789 S Kirkman RdOrlando, FL 32811",http://emerils.com
18,Winghouse Of Kirkman Rd,(407) 472-9464,"8850 Vineland AveOrlando, FL 32821",http://www.tucasarestaurant-orlando.com
19,Lone Star Steakhouse,(407) 827-8225,"6149 Westwood BlvdOrlando, FL 32821",https://millersalehouse.com/locations/orlando-florida-mall
20,Ciao Italia Ristorante,(407) 354-0770,"6300 Hollywood WayOrlando, FL 32819",http://www.sweetmamasrestaurant.com
21,Emeril's Tchoup Chop,(407) 503-2467,"9251 S Orange Blossom TrlOrlando, FL 32837",http://www.blackangusorlando.com
22,Tu Casa Restaurant,(407) 856-3997,"1667 Florida Mall AveOrlando, FL 32809",http://www.kingcajuncrawfish.com
23,Miller's Ale House - Orlando Florida Mall,(407) 240-4080,"10743 Narcoossee RdOrlando, FL 32832",http://www.universalorlando.com/Hotels/Loews-Portofino-Bay-Hotel/Restaurants/Mama-Dellas.aspx
24,Sweet Mamas Restaurant,(407) 282-7737,"6231 International DrOrlando, FL 32819",http://seafood-heaven.com
25,Black Angus Steakhouse,(407) 354-3333,"914 N Mills AveOrlando, FL 32803",
26,King Cajun Crawfish,(407) 704-8863,"6000 Universal BlvdOrlando, FL 32819",
27,Pastamore,(407) 224-2244,"5601 Universal BlvdOrlando, FL 32819",
28,Mama Della's Ristorante,(407) 503-3463,"6415 W Colonial Dr Ste BOrlando, FL 32818",
29,Seafood Heaven,(407) 292-2722,,
